t_s,P_acc_pa,P_act_pa
0.000000000000000000e+00,1.013529321629999904e+05,2.413165051499999687e+07
5.000000000000000278e-02,1.013529321629999904e+05,2.413165051499999687e+07
1.000000000000000056e-01,1.013529321629999904e+05,2.413165051499999687e+07
1.500000000000000222e-01,1.013529321629999904e+05,2.413165051499999687e+07
2.000000000000000111e-01,1.013529321629999904e+05,2.413165051499999687e+07
2.500000000000000000e-01,1.013529321629999904e+05,2.413165051499999687e+07
3.000000000000000444e-01,1.013529321629999904e+05,2.413165051499999687e+07
3.500000000000000333e-01,1.013529321629999904e+05,2.413165051499999687e+07
4.000000000000000222e-01,1.013529321629999904e+05,2.413165051499999687e+07
4.500000000000000111e-01,1.013529321629999904e+05,2.413165051499999687e+07
5.000000000000000000e-01,1.013529321629999904e+05,2.413165051499999687e+07
5.500000000000000444e-01,1.013529321629999904e+05,2.413165051499999687e+07
6.000000000000000888e-01,1.013529321629999904e+05,2.413165051499999687e+07
6.500000000000000222e-01,1.013529321629999904e+05,2.413165051499999687e+07
7.000000000000000666e-01,1.013529321629999904e+05,2.413165051499999687e+07
7.500000000000000000e-01,1.013529321629999904e+05,2.413165051499999687e+07
8.000000000000000444e-01,1.013529321629999904e+05,2.413165051499999687e+07
8.500000000000000888e-01,1.013529321629999904e+05,2.413165051499999687e+07
9.000000000000000222e-01,1.013529321629999904e+05,2.413165051499999687e+07
9.500000000000000666e-01,1.013529321629999904e+05,2.413165051499999687e+07
1.000000000000000000e+00,1.014657416496474616e+05,2.413142489602670074e+07
1.050000000000000044e+00,8.111452063789299689e+06,8.111452251747409813e+06
1.100000000000000089e+00,8.111451996398657560e+06,8.111452386528693140e+06
1.150000000000000133e+00,8.111451935337684117e+06,8.111452508650640957e+06
1.200000000000000178e+00,8.111451875990203582e+06,8.111452627345602028e+06
1.250000000000000000e+00,8.111451816745304503e+06,8.111452745835399255e+06
1.300000000000000044e+00,8.111451757500406355e+06,8.111452864325197414e+06
1.350000000000000089e+00,8.111451698255507275e+06,8.111452982814994641e+06
1.400000000000000133e+00,8.111451639010608196e+06,8.111453101304792799e+06
1.450000000000000178e+00,8.111451579765709117e+06,8.111453219794590026e+06
1.500000000000000000e+00,8.111451520520810969e+06,8.111453338284388185e+06
1.550000000000000044e+00,8.111451461275911890e+06,8.111453456774185412e+06
1.600000000000000089e+00,8.111451402031012811e+06,8.111453575263983570e+06
1.650000000000000133e+00,8.111451342786113732e+06,8.111453693753780797e+06
1.700000000000000178e+00,8.111451283541215584e+06,8.111453812243578956e+06
1.750000000000000000e+00,8.111451224296316504e+06,8.111453930733376183e+06
1.800000000000000044e+00,8.111451165132108144e+06,8.111454049061793834e+06
1.850000000000000089e+00,8.111451108294405043e+06,8.111454162737198174e+06
1.900000000000000133e+00,8.111451051456702873e+06,8.111454276412603445e+06
1.950000000000000178e+00,8.111450994619000703e+06,8.111454390088008717e+06
2.000000000000000000e+00,8.111450937781297602e+06,8.111454503763413057e+06
2.050000000000000266e+00,8.111450880943595432e+06,8.111454617438818328e+06
2.100000000000000089e+00,8.111450824105893262e+06,8.111454731114223599e+06
2.149999999999999911e+00,8.111450767268190160e+06,8.111454844789627939e+06
2.200000000000000178e+00,8.111450710430487990e+06,8.111454958465033211e+06
2.250000000000000000e+00,8.111450653592785820e+06,8.111455072140438482e+06
2.300000000000000266e+00,8.111450596755082719e+06,8.111455185815842822e+06
2.350000000000000089e+00,8.111450539917380549e+06,8.111455299491248094e+06
2.400000000000000355e+00,8.111450483079678379e+06,8.111455413166652434e+06
2.450000000000000178e+00,8.111450426310113631e+06,8.111455526705780998e+06
2.500000000000000000e+00,8.111450370024019852e+06,8.111455639277968556e+06
2.550000000000000266e+00,8.111450313737927005e+06,8.111455751850155182e+06
2.600000000000000089e+00,8.111450257451833226e+06,8.111455864422342740e+06
2.650000000000000355e+00,8.111450201165739447e+06,8.111455976994529366e+06
2.700000000000000178e+00,8.111450144879645668e+06,8.111456089566716924e+06
2.750000000000000000e+00,8.111450088593552820e+06,8.111456202138903551e+06
2.800000000000000266e+00,8.111450032307459041e+06,8.111456314711091109e+06
2.850000000000000089e+00,8.111449976021365263e+06,8.111456427283277735e+06
2.900000000000000355e+00,8.111449919735271484e+06,8.111456539855465293e+06
2.950000000000000178e+00,8.111449863449178636e+06,8.111456652427651919e+06
3.000000000000000000e+00,8.111449807163084857e+06,8.111456764999839477e+06
3.050000000000000266e+00,8.111449750876991078e+06,8.111456877572026104e+06
3.100000000000000089e+00,8.111449694590897299e+06,8.111456990144213662e+06
3.150000000000000355e+00,8.111449638304804452e+06,8.111457102716400288e+06
3.200000000000000178e+00,8.111449582018710673e+06,8.111457215288587846e+06
3.250000000000000000e+00,8.111449525732616894e+06,8.111457327860774472e+06
3.300000000000000266e+00,8.111449469446523115e+06,8.111457440432962030e+06
3.350000000000000089e+00,8.111449413160430267e+06,8.111457553005148657e+06
3.400000000000000355e+00,8.111449356874336489e+06,8.111457665577336214e+06
3.450000000000000178e+00,8.111449300588242710e+06,8.111457778149522841e+06
3.500000000000000000e+00,8.111449244302148931e+06,8.111457890721710399e+06
3.550000000000000266e+00,8.111449188016056083e+06,8.111458003293897957e+06
3.600000000000000089e+00,8.111449131729962304e+06,8.111458115866084583e+06
3.650000000000000355e+00,8.111449075443868525e+06,8.111458228438272141e+06
3.700000000000000178e+00,8.111449019157774746e+06,8.111458341010458767e+06
3.750000000000000000e+00,8.111448962871681899e+06,8.111458453582646325e+06
3.800000000000000266e+00,8.111448906585588120e+06,8.111458566154832952e+06
3.850000000000000089e+00,8.111448850299494341e+06,8.111458678727020510e+06
3.900000000000000355e+00,8.111448794013400562e+06,8.111458791299207136e+06
3.950000000000000178e+00,8.111448737727307715e+06,8.111458903871394694e+06
4.000000000000000000e+00,8.111448681441213936e+06,8.111459016443581320e+06
4.049999999999999822e+00,8.111448625155120157e+06,8.111459129015768878e+06
4.100000000000000533e+00,8.111448568869026378e+06,8.111459241587955505e+06
4.150000000000000355e+00,8.111448512582933530e+06,8.111459354160143062e+06
4.200000000000000178e+00,8.111448456296839751e+06,8.111459466732329689e+06
4.250000000000000000e+00,8.111448400010745972e+06,8.111459579304517247e+06
4.299999999999999822e+00,8.111448343724652193e+06,8.111459691876703873e+06
4.350000000000000533e+00,8.111448287438559346e+06,8.111459804448891431e+06
4.400000000000000355e+00,8.111448231152465567e+06,8.111459917021078058e+06
4.450000000000000178e+00,8.111448174866371788e+06,8.111460029593265615e+06
4.500000000000000000e+00,8.111448118580278009e+06,8.111460142165452242e+06
4.549999999999999822e+00,8.111448062294185162e+06,8.111460254737639800e+06
4.600000000000000533e+00,8.111448006008091383e+06,8.111460367309826426e+06
4.650000000000000355e+00,8.111447949721997604e+06,8.111460479882013984e+06
4.700000000000000178e+00,8.111447893435903825e+06,8.111460592454200611e+06
4.750000000000000000e+00,8.111447837149810977e+06,8.111460705026388168e+06
4.800000000000000711e+00,8.111447780863717198e+06,8.111460817598574795e+06
4.850000000000000533e+00,8.111447724577623419e+06,8.111460930170762353e+06
4.900000000000000355e+00,8.111447668291529641e+06,8.111461042742948979e+06
4.950000000000000178e+00,8.111447612005436793e+06,8.111461155315136537e+06
5.000000000000000000e+00,8.111447555719343014e+06,8.111461267887323163e+06
5.050000000000000711e+00,8.111447499433249235e+06,8.111461380459510721e+06
5.100000000000000533e+00,8.111447443147155456e+06,8.111461493031697348e+06
5.150000000000000355e+00,8.111447386861062609e+06,8.111461605603884906e+06
5.200000000000000178e+00,8.111447330574968830e+06,8.111461718176071532e+06
5.250000000000000000e+00,8.111447274288875051e+06,8.111461830748259090e+06
5.300000000000000711e+00,8.111447218002781272e+06,8.111461943320445716e+06
5.350000000000000533e+00,8.111447161716688424e+06,8.111462055892633274e+06
5.400000000000000355e+00,8.111447105430594645e+06,8.111462168464819901e+06
5.450000000000000178e+00,8.111447049144500867e+06,8.111462281037007459e+06
5.500000000000000000e+00,8.111446992858407088e+06,8.111462393609194085e+06
5.550000000000000711e+00,8.111446936572314240e+06,8.111462506181381643e+06
5.600000000000000533e+00,8.111446880286220461e+06,8.111462618753568269e+06
5.650000000000000355e+00,8.111446824000126682e+06,8.111462731325755827e+06
5.700000000000000178e+00,8.111446767714032903e+06,8.111462843897942454e+06
5.750000000000000000e+00,8.111446711427940056e+06,8.111462956470130011e+06
5.800000000000000711e+00,8.111446655141846277e+06,8.111463069042316638e+06
5.850000000000000533e+00,8.111446598855752498e+06,8.111463181614504196e+06
5.900000000000000355e+00,8.111446542569658719e+06,8.111463294186690822e+06
5.950000000000000178e+00,8.111446486283565871e+06,8.111463406758878380e+06
6.000000000000000000e+00,8.111446429997472093e+06,8.111463519331065007e+06
6.050000000000000711e+00,8.111446373711378314e+06,8.111463631903252564e+06
6.100000000000000533e+00,8.111446317425284535e+06,8.111463744475439191e+06
6.150000000000000355e+00,8.111446261139191687e+06,8.111463857047626749e+06
6.200000000000000178e+00,8.111446204853097908e+06,8.111463969619813375e+06
6.250000000000000000e+00,8.111446148567004129e+06,8.111464082192000933e+06
6.300000000000000711e+00,8.111446092280910350e+06,8.111464194764187559e+06
6.350000000000000533e+00,8.111446035994817503e+06,8.111464307336375117e+06
6.400000000000000355e+00,8.111445979708723724e+06,8.111464419908561744e+06
6.450000000000000178e+00,8.111445923422629945e+06,8.111464532480749302e+06
6.500000000000000000e+00,8.111445867136536166e+06,8.111464645052935928e+06
6.550000000000000711e+00,8.111445810850443318e+06,8.111464757625123486e+06
